"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
35,3224.3,5350.9,6778.2,7792.5,8560.4,9094.5,9476,9724.85,9892.5,10022.7,10087.45,10146.25,10181.95,10212.4,10227.8,10233.75,10246.7,10252.3,10255.1,10255.1,10258.95,10257.2,10258.6,10260,10259.65,10260,10260,10260,10260,10259.65,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260
36,3312.16,5416.72,6955.36,7937.44,8645.56,9176.56,9503.08,9759.76,9920.68,10016.08,10081.96,10144.6,10180.6,10204.72,10219.84,10232.08,10237.48,10239.64,10244.32,10244.32,10245.76,10246.84,10248.64,10248.64,10249,10248.64,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249,10249
37,3356.17,5514.75,6997.71,8014.84,8760.39,9217.71,9587.71,9808.97,9938.47,10060.94,10126.06,10169.72,10204.13,10223.74,10240.02,10243.35,10245.2,10251.86,10256.3,10258.15,10258.52,10258.15,10259.26,10259.26,10260,10260,10260,10259.63,10260,10260,10259.63,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260
38,3379,5593.64,7096.16,8153.32,8795.14,9305.86,9620.12,9816.96,9983.4,10075.36,10130.46,10174.54,10203.8,10219,10231.92,10244.84,10247.5,10251.3,10253.58,10254.72,10255.48,10255.1,10256.62,10257,10256.62,10257,10257,10257,10257,10256.62,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257,10257
39,3482.47,5666.47,7162.9,8152.33,8874.22,9354.31,9655,9847.66,9984.16,10085.17,10134.31,10168.24,10199.44,10216.99,10222.84,10227.91,10231.81,10233.37,10238.05,10238.83,10238.83,10239.22,10239.61,10239.61,10239.61,10240,10240,10239.61,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240
40,3530,5777.6,7300,8324.4,8945.6,9416.4,9702,9884.4,10011.6,10098.8,10151.2,10181.6,10211.2,10222.4,10234.8,10242.8,10241.2,10246.4,10246,10247.6,10249.6,10250,10249.6,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250,10250
41,3607.05,5810.8,7366.75,8297.45,9009.21,9408.14,9689.81,9867.34,9967.79,10071.11,10126.87,10151.88,10174.43,10185.91,10190.01,10196.98,10201.49,10203.95,10202.72,10204.77,10205.18,10205.59,10205.59,10205.59,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206
42,3696.28,5943.28,7380.94,8434.3,9058.84,9492.28,9747.64,9929.92,10052.56,10119.76,10154.62,10186.54,10200.4,10218.04,10222.66,10228.96,10231.06,10231.06,10232.74,10233.58,10233.16,10233.58,10234,10233.58,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234,10234
43,3722.74,5999.16,7548.02,8460.48,9108.92,9528.6,9753.92,9919.47,10034.28,10099.21,10155.11,10165,10179.62,10194.67,10199.4,10201.12,10204.99,10206.71,10206.71,10208,10207.14,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208,10208
44,3758,6082.96,7592.16,8503.4,9182.32,9566.44,9793.04,9957.16,10034.16,10112.48,10151.64,10180.68,10194.32,10199.6,10209.72,10208.84,10211.04,10212.8,10213.24,10214.56,10214.12,10214.56,10215,10215,10215,10215,10214.56,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215
